dataset,pm,model,split,n_seeds,n_train,n_test,RMSE,MAE,R2,MBE_test,u_A_model,u_input_MC,u_B_bias,u_c,U,raw_oof_std,bias_correction,coverage_actual,coverage_target,k_empirical,fit_seconds
KAPSARC,pm25,Uncalibrated,temporal,1,18993,4749,24.97,18.06,0.646,-0.27,24.97,0.0,0.0,24.97,49.95,24.97,0.0,0.9514,0.95,,0.0
KAPSARC,pm25,Affine,temporal,1,18993,4749,24.85,18.85,0.6496,-9.61,22.635,5.204,5.549,23.879,47.758,22.702,0.121,0.9278,0.95,2.234,0.0
KAPSARC,pm25,MLR,temporal,1,18993,4749,16.85,12.35,0.8389,0.12,15.462,5.925,0.068,16.559,33.118,15.561,0.051,0.952,0.95,1.982,0.0
KAPSARC,pm25,RF,temporal,1,18993,4749,10.79,8.04,0.9339,-4.11,8.631,5.829,2.373,10.682,21.363,8.806,0.12,0.9556,0.95,1.927,15.5
KAPSARC,pm25,GBR,temporal,1,18993,4749,9.99,7.33,0.9434,-2.37,8.596,5.914,1.366,10.523,21.046,8.772,-0.77,0.9661,0.95,1.802,988.7
KAPSARC,pm25,ANN,temporal,1,18993,4749,9.41,6.98,0.9498,-0.77,7.879,6.09,0.444,9.968,19.936,8.07,0.342,0.9718,0.95,1.706,158.1
